Name	Set	ImageFile	Name DE	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Ariel, On Human Legs	1	356a192b7913b04c54574d18c28d46e6395428ab	Arielle, Auf menschlichen Beinen	Character	Prinzessin, Heldin, Sagengestalt	UNCOMMON	AMBER	4	True	3	4	2		1 TFC DE 1/204	VERSTUMMT Dieser Charakter kann nicht , um Lieder zu singen.	...	1	Matthew Robert Davies
Ariel, Spectacular Singer	1	da4b9237bacccdf19c0760cab7aec4a8359010b0	Arielle, Spektakulare Sangerin	Character	Prinzessin, Heldin, Sagengestalt	SUPER	AMBER	3	True	2	3	1	Singen	1 TFC DE 2/204	Singen 5 (Die Kosten dieses Charakters gelten als 5 fur das Singen von Liedern.) MUSIKALISCHES DEBUT Wenn du diesen Charakter ausspielst, schaue dir die obersten 4 Karten deines Decks an. Du darfst 1 Liedkarte daraus aufdecken und auf deine Hand nehmen. Lege die restlichen Karten in beliebiger Reihenfolge unter dein Deck.		2	ERRATA: Alice Pisoni
Cinderella, Gentle and Kind	1	77de68daecd823babbb58edb1c8e14d7106e83bb	Cinderella, Behutsam und freundlich	Character	Prinzessin, Heldin, Sagengestalt	UNCOMMON	AMBER	4	True	2	5	2	Singen	1 TFC DE 3/204	Singen 5 (Die Kosten dieses Charakters gelten als 5 fur das Singen von Liedern.) EIN WUNDERVOLLER TRAUM Entferne bis zu 3 Schaden von einer Prinzessin deiner Wahl.		3	Javier Salas
Goofy, Musketeer	1	1b6453892473a467d07372d45eb05abc2031647a	Goofy, Musketier	Character	Held, Musketier, Traumgestalt	UNCOMMON	AMBER	5	True	3	6	1	Beschutzen	1 TFC DE 4/204	Beschutzen (Du darfst diesen Charakter erschopft ausspielen. Gegnerische Charaktere mussen beim Herausfordern zuerst deine Charaktere mit Beschutzen wahlen, wenn moglich.) UND ZWEI IM DUETT! Wenn du diesen Charakter ausspielst, darfst du bis zu 2 Schaden von jedem deiner Musketiere entfernen.	En Garde!	4	Jochem Van Gool
Hades, King of Olympus	1	ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4	Hades, Konig des Olymps	Character	Flutgestalt, Schurke, Gottheit, Konig	RARE	AMBER	8	False	6	7	1		1 TFC DE 5/204	Gestaltwandel 6 (Du kannst 6 fur jede weitere Schurkin und jeden weiteren Schurken, die du im Spiel hast.	Oh hey, ich brauche neue Visitenkarten.	5	Alex Accorsi
Hades, Lord of the Underworld	1	c1dfd96eea8cc2b62785275bca38ac261256e278	Hades, Herrscher der Unterwelt	Character	Gottheit, Schurke, Sagengestalt	RARE	AMBER	4	False	3	2	1		1 TFC DE 6/204	FLUSS DES TODES Wenn du diesen Charakter ausspielst, nimm 1 Charakterkarte aus deinem Ablagestapel zuruck auf deine Hand.	Die Produktion ist gestiegen, die Kosten sind gesunken, die Flusse sind voll. Zeit, uber Expansion zu sprechen.	6	Randy Bishop
HeiHei, Boat Snack	1	902ba3cda1883801594b6e1b452790cc53948fda	HeiHei, Bootssnack	Character	Verbundeter, Sagengestalt	COMMON	AMBER	1	True	1	2	1	Unterstutzen	1 TFC DE 7/204	Unterstutzen (Jedes Mal, wenn dieser Charakter erkundet, darfst du seine eines anderen Charakters deiner Wahl addieren.)	Manchmal erkennt man unsere Starken nicht auf den ersten Blick. Manchmal auch nicht auf den zweiten... - Vaiana	7	Jenna Gray
LeFou, Bumbler	1	fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f	Le Fou, Tollpatsch	Character	Verbundeter, Sagengestalt	UNCOMMON	AMBER	2	True	1	2	2		1 TFC DE 8/204	LOYAL Wenn du einen Gaston-Charakter im Spiel hast, zahlst du 1 weniger, um diesen Charakter auszuspielen.	Um ein richtiger Bosewicht zu sein, braucht man einen guten Komplizen.	8	Andrey Chumak
Lilo, Making a Wish	1	0ade7c2cf97f75d009975f4d720d1fa6c19f4897	Lilo, Wunscht sich was	Character	Sagengestalt, Heldin	RARE	AMBER	1	False	1	1	2		1 TFC DE 9/204		Eine Sternschnuppe! Zuerst gesehen! Raus, geh raus! Ich muss mir was wunschen!	9	Dave Beauchene
Maximus, Palace Horse	1	b1d5781111d84f7b3fe45a0852e59758cd7a87e5	Maximus, Schloss-Pferd	Character	Verbundeter, Sagengestalt	SUPER	AMBER	5	True	4	5	1	Unterstutzen, Beschutzen	1 TFC DE 10/204	Beschutzen (Du darfst diesen Charakter erschopft ausspielen. Gegnerische Charaktere mussen beim Herausfordern zuerst deine Charaktere mit Beschutzen wahlen, wenn moglich.) Unterstutzen (Jedes Mal, wenn dieser Charakter erkundet, darfst du seine eines anderen Charakters deiner Wahl addieren.)		10	Brian Weisz
Maximus, Relentless Pursuer	1	17ba0791499db908433b80f37c5fbc89b870084b	Maximus, Gnadenloser Verfolger	Character	Verbundeter, Traumgestalt	UNCOMMON	AMBER	3	True	3	3	1		1 TFC DE 11/204	PFERDETRITT Wenn du diesen Charakter ausspielst, gib einem Charakter deiner Wahl in diesem Zug -2.	Er verfolgt seine Beute mit Mut, Disziplin und einem Hauch von Klasse.	11	Kendall Hale
