Name	Set	ImageFile	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Ariel, On Human Legs	1	356a192b7913b04c54574d18c28d46e6395428ab	Character	["Storyborn", "Princess", "Hero"]	UNCOMMON	AMBER	4	True	3	4	2	[]	1 TFC EN 1/204	'VOICELESS This character can''t to sing songs.'	...	1	Matthew Robert Davies
Ariel, Spectacular Singer	1	da4b9237bacccdf19c0760cab7aec4a8359010b0	Character	["Storyborn", "Princess", "Hero"]	SUPER	AMBER	3	True	2	3	1	["Singer"]	1 TFC EN 2/204	Singer 5 (This character counts as cost 5 to sing songs.) MUSICAL DEBUT When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.		2	Alice Pisoni
Cinderella, Gentle and Kind	1	77de68daecd823babbb58edb1c8e14d7106e83bb	Character	["Storyborn", "Princess", "Hero"]	UNCOMMON	AMBER	4	True	2	5	2	["Singer"]	1 TFC EN 3/204	Singer 5 (This character counts as cost 5 to sing songs.) A WONDERFUL DREAM Remove up to 3 damage from chosen Princess character.		3	Javier Salas
Goofy, Musketeer	1	1b6453892473a467d07372d45eb05abc2031647a	Character	["Musketeer", "Dreamborn", "Hero"]	UNCOMMON	AMBER	5	True	3	6	1	["Bodyguard"]	1 TFC EN 4/204	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) AND TWO FOR TEA! When you play this character, you may remove up to 2 damage from each of your Musketeer characters.	En gawrsh!	4	Jochem Van Gool
Hades, King of Olympus	1	ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4	Character	["King", "Floodborn", "Villain", "Deity"]	RARE	AMBER	8	False	6	7	1	["Shift"]	1 TFC EN 5/204	Shift 6 (You may pay 6 to play this on top of one of your characters named Hades.) SINISTER PLOT This character gets +1 for each other Villain character you have in play.	Oh hey, I’m gonna need new business cards.	5	Alex Accorsi
Hades, Lord of the Underworld	1	c1dfd96eea8cc2b62785275bca38ac261256e278	Character	["Storyborn", "Villain", "Deity"]	RARE	AMBER	4	False	3	2	1	[]	1 TFC EN 6/204	WELL OF SOULS When you play this character, return a character card from your discard to your hand.	Production is up, costs are down, the rivers are full. Time to talk expansion.	6	Randy Bishop
HeiHei, Boat Snack	1	902ba3cda1883801594b6e1b452790cc53948fda	Character	["Ally", "Storyborn"]	COMMON	AMBER	1	True	1	2	1	["Support"]	1 TFC EN 7/204	'Support (Whenever this character quests, you may add their to another chosen character''s this turn.)'	Sometimes, our strengths lie beneath the surface. Far beneath, in some cases. . . . —Moana	7	Jenna Gray
LeFou, Bumbler	1	fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f	Character	["Ally", "Storyborn"]	UNCOMMON	AMBER	2	True	1	2	2	[]	1 TFC EN 8/204	LOYAL If you have a character named Gaston in play, you pay 1 less to play this character.	You need a good toady to be a proper bad guy.	8	Andrey Chumak
Lilo, Making a Wish	1	0ade7c2cf97f75d009975f4d720d1fa6c19f4897	Character	["Hero", "Storyborn"]	RARE	AMBER	1	False	1	1	2	[]	1 TFC EN 9/204		A falling star. . . I have to make a wish!	9	Dave Beauchene
Maximus, Palace Horse	1	b1d5781111d84f7b3fe45a0852e59758cd7a87e5	Character	["Ally", "Storyborn"]	SUPER	AMBER	5	True	4	5	1	["Bodyguard", "Support"]	1 TFC EN 10/204	'Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) Support (Whenever this character quests, you may add their to another chosen character''s this turn.)'		10	Brian Weisz
