Name	Set	ImageFile	Name FR	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Ariel, On Human Legs	1	356a192b7913b04c54574d18c28d46e6395428ab	ARIEL, Sur des jambes humaines	Character	Heros, Storyborn, Princesse	UNCOMMON	AMBER	4	True	3	4	2		1 TFC FR 1/204	SANS VOIX Ce personnage ne peut pas etre pour chanter des chansons.	...	1	Matthew Robert Davies
Ariel, Spectacular Singer	1	da4b9237bacccdf19c0760cab7aec4a8359010b0	ARIEL, Chanteuse exceptionnelle	Character	Heros, Storyborn, Princesse	SUPER	AMBER	3	True	2	3	1	Melomane	1 TFC FR 2/204	Melomane 5 (Ce personnage est considere comme ayant un cout de 5 pour chanter des chansons.) DEBUTS MUSICAUX Lorsque vous jouez ce personnage, regardez les 4 premieres cartes de votre pioche. Vous pouvez reveler une carte chanson parmi elles et l'ajouter a votre main. Remettez les autres sous votre pioche, dans l'ordre de votre choix.		2	Alice Pisoni
Cinderella, Gentle and Kind	1	77de68daecd823babbb58edb1c8e14d7106e83bb	CENDRILLON, Douce et charmante	Character	Heros, Storyborn, Princesse	UNCOMMON	AMBER	4	True	2	5	2	Melomane	1 TFC FR 3/204	Melomane 5 (Ce personnage est considere comme ayant un cout de 5 pour chanter des chansons.) UN REVE MAGNIFIQUE - Choisissez un personnage Princesse et retirez-lui jusqu'a 3 jetons Dommage.		3	Javier Salas
Goofy, Musketeer	1	1b6453892473a467d07372d45eb05abc2031647a	DINGO, Mousquetaire	Character	Dreamborn, Heros, Mousquetaire	UNCOMMON	AMBER	5	True	3	6	1	Rempart	1 TFC FR 4/204	Rempart (Ce personnage peut entrer en jeu epuise. Lorsqu'il vous defie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.) ET DEUX FOIS RIEN! Lorsque vous jouez ce personnage, vous pouvez retirer jusqu'a 2 jetons Dommage de chacun de vos personnages Mousquetaire.	En garde, hyuck!	4	Jochem Van Gool
Hades, King of Olympus	1	ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4	HADES, Roi de l'Olympe	Character	Roi, Dieu, Mechant, Floodborn	RARE	AMBER	8	False	6	7	1		1 TFC FR 5/204	Alter 6 (Vous pouvez payer 6 pour chaque autre personnage Mechant que vous avez en jeu.	Oh, mais j'y pense, il va me falloir de nouvelles cartes de visite.	5	Alex Accorsi
Hades, Lord of the Underworld	1	c1dfd96eea8cc2b62785275bca38ac261256e278	HADES, Seigneur des Enfers	Character	Storyborn, Mechant, Dieu	RARE	AMBER	4	False	3	2	1		1 TFC FR 6/204	PUITS DES AMES Lorsque vous jouez ce personnage, reprenez en main une carte personnage de votre defausse.	La production augmente, les couts baissent, les rivieres sont pleines. Il va falloir songer a s'agrandir.	6	Randy Bishop
HeiHei, Boat Snack	1	902ba3cda1883801594b6e1b452790cc53948fda	HEIHEI, Picoreur de bateau	Character	Allie, Storyborn	COMMON	AMBER	1	True	1	2	1	Soutien	1 TFC FR 7/204	Soutien (Lorsque ce personnage est envoye a l'aventure, vous pouvez ajouter sa a celle d'un autre personnage au choix pour le reste de ce tour.)	Parfois, les qualites ne sont pas visibles au premier abord. Il arrive qu'elles soient cachees... bien cachees. - Vaiana	7	Jenna Gray
LeFou, Bumbler	1	fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f	LE FOU, Empote	Character	Allie, Storyborn	UNCOMMON	AMBER	2	True	1	2	2		1 TFC FR 8/204	LOYAL Si vous avez un personnage Gaston en jeu, jouer ce personnage coute 1 de moins.	Tout mechant convenable a besoin d'un bon leche-botte.	8	Andrey Chumak
Lilo, Making a Wish	1	0ade7c2cf97f75d009975f4d720d1fa6c19f4897	LILO, Faisant un voeu	Character	Heros, Storyborn	RARE	AMBER	1	False	1	1	2		1 TFC FR 9/204		Une etoile filaaante! J'l'ai vue la premiere! Sors, sors vite, je dois faire un voeu!	9	Dave Beauchene
Maximus, Palace Horse	1	b1d5781111d84f7b3fe45a0852e59758cd7a87e5	MAXIMUS, Cheval du palais	Character	Allie, Storyborn	SUPER	AMBER	5	True	4	5	1	Soutien, Rempart	1 TFC FR 10/204	Rempart (Ce personnage peut entrer en jeu epuise. Lorsqu'il vous defie, un personnage adverse doit, si possible, choisir un de vos personnages avec Rempart.) Soutien (Lorsque ce personnage est envoye a l'aventure, vous pouvez ajouter sa a celle d'un autre personnage au choix pour le reste de ce tour.)		10	Brian Weisz
Maximus, Relentless Pursuer	1	17ba0791499db908433b80f37c5fbc89b870084b	MAXIMUS, Infatigable poursuivant	Character	Allie, Dreamborn	UNCOMMON	AMBER	3	True	3	3	1		1 TFC FR 11/204	COUP DE SABOT Lorsque vous jouez ce personnage, choisissez un personnage qui subit -2 pour le reste de ce tour.	Il poursuit sa proie avec courage, discipline et une certaine classe.	11	Kendall Hale
Mickey Mouse, True Friend	1	7b52009b64fd0a2a49e6d8a939753077792b0554	MICKEY MOUSE, Veritable ami	Character	Heros, Storyborn	UNCOMMON	AMBER	3	True	3	3	2		1 TFC FR 12/204		Tant qu'il sera la, les nouveaux venus dans le Grand Illuminarium seront toujours accueillis chaleureusement.	12	Dave Beauchene
Minnie Mouse, Beloved Princess	1	bd307a3ec329e10a2cff8fb87480823da114f8f4	MINNIE, Princesse adoree	Character	Princesse, Dreamborn	COMMON	AMBER	2	True	2	3	1		1 TFC FR 13/204		Ou que la princesse aille, les mousquetaires sont presents... Enfin, ils sont surement quelque part dans le coin.	13	Kendall Hale
Moana, Of Motunui	1	fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b	VAIANA, de Motunui	Character	Heros, Storyborn, Princesse	RARE	AMBER	5	True	1	6	3		1 TFC FR 14/204	NOUS ALLONS LE REPARER Lorsque ce personnage est envoye a l'aventure, vous pouvez redresser vos autres personnages Princesse. Elles ne peuvent pas etre envoyees a l'aventure pour le reste de ce tour.	Je suis Vaiana de Motunui. Tu vas monter sur mon bateau, traverser la mer et restituer le coeur de Te Fiti.	14	Nicholas Kole
Mr. Smee, Loyal First Mate	1	f1abd670358e036c31296e66b3b66c382ac00812	MONSIEUR MOUCHE, Fidele second	Character	Dreamborn, Pirate, Allie	COMMON	AMBER	3	True	2	5	1		1 TFC FR 15/204		Monsieur Mouche est une personne gentille et douce dont la vie consiste a reconforter et aider un vieux mechant malhonnete... euh du coup peut-on encore parler de gentillesse? -- Peter Pan	15	Kamil Murzyn / Eri Welli
Prince Phillip, Dragonslayer	1	1574bddb75c78a6fd2251d61e2993b5146201319	PRINCE PHILIPPE, Tueur de dragon	Character	Heros, Storyborn, Prince	UNCOMMON	AMBER	4	False	3	3	2		1 TFC FR 16/204	HEROISME Si ce personnage est defie et banni, vous pouvez bannir le personnage qui l'a defie.	Sur la route qui saura vous mener a l'amour, il est de nombreux dangers qu'il va vous falloir affronter. - Flora	16	Philipp Kruse
Pumbaa, Friendly Warthog	1	0716d9708d321ffb6a00818614779e779925365c	PUMBAA, Poete qui sommeille	Character	Allie, Storyborn	COMMON	AMBER	4	True	3	5	1		1 TFC FR 17/204		On ne revient jamais en avant.	17	Jenna Gray
Rapunzel, Gifted with Healing	1	9e6a55b6b4563e652a23be9d623ca5055c356940	RAIPONCE, Guerit les blessures	Character	Heros, Storyborn, Princesse	LEGENDARY	AMBER	4	True	1	5	2		1 TFC FR 18/204	REPANDS TA MAGIE Lorsque vous jouez ce personnage, retirez jusqu'a 3 jetons Dommage de l'un de vos personnages. Piochez une carte par jeton ainsi retire.		18	Jochem Van Gool
Sebastian, Court Composer	1	b3f0c7f6bb763af1be91d9e74eabfeb199dc1f1f	SEBASTIEN, Compositeur a la Cour	Character	Allie, Storyborn	COMMON	AMBER	2	True	2	2	1	Melomane	1 TFC FR 19/204	Melomane 4 (Ce personnage est considere comme ayant un cout de 4 pour chanter des chansons.)	Je suis fait pour composer une symphonie, moi, pas pour jouer les nounous avec cette tete de pioche.	19	Isaiah Mesq
Simba, Protective Cub	1	91032ad7bbcb6cf72875e8e8207dcfba80173f7c	SIMBA, Lionceau protecteur	Character	Heros, Storyborn, Prince	COMMON	AMBER	2	True	2	3	1	Rempart	1 TFC FR 20/204	Rempart (Ce personnage peut entrer en jeu epuise. Lorsqu'il vous defie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.)	Le courage ne depend pas de la taille.	20	Filipe Laurentino
Stitch, Carefree Surfer	1	472b07b9fcf2c2451e8781e944bf5f77cd8457c8	STITCH, Surfeur insouciant	Character	Dreamborn, Alien, Heros	LEGENDARY	AMBER	7	True	4	8	2		1 TFC FR 21/204	OHANA Si vous avez au moins 2 autres personnages en jeu lorsque vous jouez ce personnage, vous pouvez piocher 2 cartes.	Alors, comme ca, tu viens de l'espace? Il parait qu'il y a de belles vagues la-haut. - David	21	Marcel Berg
